
  .. 2400/12000 frames, avg util=0.25385, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25983, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.27366, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28663, R̄=0.784, 7.3s
  .. 4800/12000 frames, avg util=0.29371, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.28056, R̄=0.785, 9.4s
  .. 6000/12000 frames, avg util=0.29306, R̄=0.786, 10.5s
  .. 6600/12000 frames, avg util=0.29318, R̄=0.786, 11.5s
  .. 7200/12000 frames, avg util=0.27467, R̄=0.786, 12.6s
  .. 7800/12000 frames, avg util=0.27455, R̄=0.786, 13.6s
  .. 8400/12000 frames, avg util=0.28588, R̄=0.783, 14.6s
  .. 9000/12000 frames, avg util=0.28690, R̄=0.782, 15.7s
  .. 9600/12000 frames, avg util=0.28777, R̄=0.782, 16.7s
  .. 10200/12000 frames, avg util=0.28519, R̄=0.781, 17.7s
  .. 10800/12000 frames, avg util=0.28204, R̄=0.781, 18.8s
  .. 11400/12000 frames, avg util=0.28494, R̄=0.781, 19.8s
  .. 12000/12000 frames, avg util=0.28526, R̄=0.781, 20.9s
λ=(1.5, 1.05, 0.03, 0.01): util=0.28526  R̄=0.781
λ=(1.5, 1.05, 0.03, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31570, R̄=0.785, 1.1s
  .. 1200/12000 frames, avg util=0.25566, R̄=0.787, 2.1s
  .. 1800/12000 frames, avg util=0.22022, R̄=0.786, 3.2s
  .. 2400/12000 frames, avg util=0.25367, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25966, R̄=0.782, 5.3s
  .. 3600/12000 frames, avg util=0.27348, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28644, R̄=0.784, 7.4s
  .. 4800/12000 frames, avg util=0.29352, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.28037, R̄=0.785, 9.5s
  .. 6000/12000 frames, avg util=0.29288, R̄=0.786, 10.5s
  .. 6600/12000 frames, avg util=0.29300, R̄=0.786, 11.6s
  .. 7200/12000 frames, avg util=0.27449, R̄=0.786, 12.6s
  .. 7800/12000 frames, avg util=0.27436, R̄=0.786, 13.6s
  .. 8400/12000 frames, avg util=0.28570, R̄=0.783, 14.7s
  .. 9000/12000 frames, avg util=0.28672, R̄=0.782, 15.7s
  .. 9600/12000 frames, avg util=0.28759, R̄=0.782, 16.8s
  .. 10200/12000 frames, avg util=0.28501, R̄=0.781, 17.9s
  .. 10800/12000 frames, avg util=0.28186, R̄=0.781, 18.9s
  .. 11400/12000 frames, avg util=0.28476, R̄=0.781, 20.0s
  .. 12000/12000 frames, avg util=0.28508, R̄=0.781, 21.0s
λ=(1.5, 1.05, 0.03, 0.02): util=0.28508  R̄=0.781
λ=(1.5, 1.05, 0.04, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31128, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25095, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21567, R̄=0.785, 3.1s
  .. 2400/12000 frames, avg util=0.24918, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25519, R̄=0.782, 5.1s
  .. 3600/12000 frames, avg util=0.26896, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.28193, R̄=0.783, 7.2s
  .. 4800/12000 frames, avg util=0.28900, R̄=0.785, 8.3s
  .. 5400/12000 frames, avg util=0.27586, R̄=0.785, 9.3s
  .. 6000/12000 frames, avg util=0.28838, R̄=0.785, 10.4s
  .. 6600/12000 frames, avg util=0.28852, R̄=0.785, 11.4s
  .. 7200/12000 frames, avg util=0.26998, R̄=0.785, 12.5s
  .. 7800/12000 frames, avg util=0.26984, R̄=0.785, 13.5s
  .. 8400/12000 frames, avg util=0.28136, R̄=0.782, 14.5s
  .. 9000/12000 frames, avg util=0.28242, R̄=0.782, 15.6s
  .. 9600/12000 frames, avg util=0.28327, R̄=0.782, 16.6s
  .. 10200/12000 frames, avg util=0.28070, R̄=0.781, 17.7s
  .. 10800/12000 frames, avg util=0.27756, R̄=0.780, 18.7s
  .. 11400/12000 frames, avg util=0.28045, R̄=0.780, 19.8s
  .. 12000/12000 frames, avg util=0.28077, R̄=0.780, 20.8s
λ=(1.5, 1.05, 0.04, 0.01): util=0.28077  R̄=0.780
λ=(1.5, 1.05, 0.04, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31097, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25068, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21545, R̄=0.785, 3.1s
  .. 2400/12000 frames, avg util=0.24896, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25499, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.26876, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.28174, R̄=0.783, 7.3s
  .. 4800/12000 frames, avg util=0.28882, R̄=0.785, 8.3s
  .. 5400/12000 frames, avg util=0.27567, R̄=0.785, 9.4s
  .. 6000/12000 frames, avg util=0.28820, R̄=0.785, 10.5s
  .. 6600/12000 frames, avg util=0.28834, R̄=0.785, 11.5s
  .. 7200/12000 frames, avg util=0.26979, R̄=0.785, 12.6s
  .. 7800/12000 frames, avg util=0.26965, R̄=0.785, 13.6s
  .. 8400/12000 frames, avg util=0.28117, R̄=0.782, 14.7s
  .. 9000/12000 frames, avg util=0.28222, R̄=0.782, 15.7s
  .. 9600/12000 frames, avg util=0.28308, R̄=0.782, 16.8s
  .. 10200/12000 frames, avg util=0.28051, R̄=0.781, 17.8s
  .. 10800/12000 frames, avg util=0.27736, R̄=0.780, 18.9s
  .. 11400/12000 frames, avg util=0.28025, R̄=0.780, 19.9s
  .. 12000/12000 frames, avg util=0.28057, R̄=0.780, 21.0s
λ=(1.5, 1.05, 0.04, 0.02): util=0.28057  R̄=0.780
λ=(1.5, 1.05, 0.05, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.30656, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.24628, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21103, R̄=0.784, 3.1s
  .. 2400/12000 frames, avg util=0.24455, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25056, R̄=0.781, 5.2s
  .. 3600/12000 frames, avg util=0.26430, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.27730, R̄=0.783, 7.3s
  .. 4800/12000 frames, avg util=0.28435, R̄=0.784, 8.3s
  .. 5400/12000 frames, avg util=0.27121, R̄=0.784, 9.3s
  .. 6000/12000 frames, avg util=0.28375, R̄=0.785, 10.4s
  .. 6600/12000 frames, avg util=0.28389, R̄=0.785, 11.4s
  .. 7200/12000 frames, avg util=0.26537, R̄=0.785, 12.4s
  .. 7800/12000 frames, avg util=0.26524, R̄=0.785, 13.5s
  .. 8400/12000 frames, avg util=0.27679, R̄=0.782, 14.5s
  .. 9000/12000 frames, avg util=0.27785, R̄=0.781, 15.6s
  .. 9600/12000 frames, avg util=0.27870, R̄=0.781, 16.6s
  .. 10200/12000 frames, avg util=0.27614, R̄=0.780, 17.7s
  .. 10800/12000 frames, avg util=0.27301, R̄=0.780, 18.7s
  .. 11400/12000 frames, avg util=0.27590, R̄=0.780, 19.8s
  .. 12000/12000 frames, avg util=0.27622, R̄=0.780, 20.8s
λ=(1.5, 1.05, 0.05, 0.01): util=0.27622  R̄=0.780
λ=(1.5, 1.05, 0.05, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.30631, R̄=0.785, 1.1s
  .. 1200/12000 frames, avg util=0.24602, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21083, R̄=0.784, 3.1s
  .. 2400/12000 frames, avg util=0.24435, R̄=0.781, 4.2s
  .. 3000/12000 frames, avg util=0.25036, R̄=0.781, 5.2s
  .. 3600/12000 frames, avg util=0.26409, R̄=0.783, 6.3s
  .. 4200/12000 frames, avg util=0.27710, R̄=0.783, 7.3s
  .. 4800/12000 frames, avg util=0.28416, R̄=0.784, 8.4s
  .. 5400/12000 frames, avg util=0.27102, R̄=0.784, 9.5s
  .. 6000/12000 frames, avg util=0.28356, R̄=0.785, 10.5s
  .. 6600/12000 frames, avg util=0.28370, R̄=0.785, 11.6s
  .. 7200/12000 frames, avg util=0.26518, R̄=0.785, 12.7s
